id0,cbf,basil,basilS,basilPV,cbfscore,cbfscrub
116354,8.846037 ,10.975889 ,9.847990 ,13.024020 ,8.860081 ,8.968565
116019,5.463398 ,6.916743 ,6.316029 ,7.871261 ,5.503064 ,5.529817
114990,7.842182 ,9.753914 ,9.176520 ,11.712469 ,7.806735 ,7.843232
117397,7.820582 ,9.647023 ,8.847316 ,11.967813 ,8.350217 ,8.411804
118864,15.738593 ,18.836721 ,18.158709 ,22.610852 ,15.480045 ,15.225091
122916,10.236705 ,12.798103 ,12.002528 ,15.122109 ,10.167927 ,10.238883
125511,9.486423 ,11.704537 ,11.021965 ,13.734938 ,9.508931 ,9.415985
125535,6.300948 ,7.768796 ,7.265789 ,9.008270 ,6.432367 ,6.449143
125554,8.954914 ,11.515313 ,10.778590 ,13.605466 ,8.790121 ,8.946025
126176,10.923856 ,13.486091 ,12.773730 ,15.821850 ,11.040424 ,10.998627
126903,10.923178 ,13.113097 ,12.301524 ,16.989545 ,10.535244 ,10.641921
126554,7.798930 ,9.615859 ,9.114863 ,11.524898 ,7.697631 ,7.638817
127417,9.856838 ,12.079424 ,11.327949 ,14.460059 ,9.747681 ,9.737697
127611,13.952694 ,17.107231 ,16.282884 ,20.357381 ,14.039561 ,14.024385
128154,12.891963 ,15.729479 ,14.777200 ,19.678544 ,12.500393 ,12.506759
129886,9.159736 ,11.285291 ,10.754150 ,13.286655 ,9.163747 ,9.182584
130121,10.703170 ,13.246296 ,12.534181 ,15.686235 ,10.653498 ,10.607739
129926,12.334561 ,15.193705 ,14.478554 ,17.999745 ,12.348908 ,12.098582
130211,12.448954 ,15.383227 ,14.786764 ,18.259148 ,12.472677 ,12.380885
130687,14.189153 ,17.363475 ,16.596037 ,20.391085 ,14.146081 ,14.051077
131224,8.901973 ,10.994144 ,10.326774 ,12.789513 ,8.869104 ,8.806275
139272,8.881830 ,11.310897 ,10.638992 ,13.475325 ,8.735541 ,8.843681
133220,9.442140 ,11.841187 ,11.261839 ,13.816679 ,9.476375 ,9.414299
81725,13.148632 ,16.195689 ,15.433305 ,18.312039 ,12.936232 ,12.868636
82492,7.809787 ,9.843234 ,9.014888 ,11.455272 ,7.811305 ,7.825513
82790,8.947055 ,11.019645 ,10.468980 ,12.956018 ,8.643178 ,8.662291
83454,8.701718 ,10.902023 ,10.412211 ,12.644519 ,8.887114 ,8.946209
83835,6.807423 ,7.658424 ,6.835828 ,9.669298 ,5.796511 ,5.921027
83999,10.502406 ,13.027687 ,12.386141 ,14.988779 ,10.505604 ,10.488621
88402,10.278549 ,12.728840 ,12.011870 ,14.815217 ,10.171839 ,10.018850
90077,10.805907 ,13.625464 ,12.896718 ,16.103341 ,10.765007 ,10.893629
90060,10.030307 ,12.076885 ,11.194214 ,14.552471 ,10.206044 ,9.978265
90262,9.570855 ,11.601158 ,11.164795 ,13.475733 ,9.554414 ,9.563003
92211,7.841181 ,9.708341 ,9.187696 ,11.406735 ,8.059219 ,7.955334
92927,5.849407 ,7.512677 ,6.971986 ,8.699122 ,5.847731 ,5.956402
93051,8.937564 ,11.082261 ,10.528792 ,13.275616 ,8.879987 ,8.963291
92554,9.134402 ,11.596660 ,11.073639 ,13.418313 ,9.042219 ,9.238379
93169,12.720758 ,15.802381 ,15.288128 ,18.556225 ,12.568326 ,12.662910
94848,10.286259 ,12.808045 ,12.348663 ,14.931450 ,10.371829 ,10.440742
95057,12.038803 ,14.906942 ,13.704153 ,18.486583 ,12.166597 ,12.013339
95015,15.546997 ,18.139973 ,16.722481 ,23.376082 ,15.265264 ,15.138256
98314,9.509060 ,11.919322 ,11.433005 ,13.955123 ,9.747743 ,9.798494
97994,10.026057 ,12.436496 ,11.844909 ,14.772735 ,9.916811 ,9.940160
98394,7.043633 ,8.858096 ,7.971259 ,10.560611 ,6.920599 ,7.012658
99604,11.728803 ,14.720670 ,13.907391 ,17.370575 ,11.652667 ,11.695371
